UF;Município;Registro;Protocolo;COBRADE;Status;População;DH_Mortos;DH_Feridos;DH_Enfermos;DH_Desabrigados;DH_Desalojados;DH_Desaparecidos;DH_Outros Afetados;DM_Unidades Habitacionais Danificadas;DM_Unidades Habitacionais Destruídas;DM_Unidades Habitacionais Valor;DM_Instalações públicas de saúde Danificadas;DM_Instalações públicas de saúde Destruídas;DM_Instalações públicas de saúde Valor;DM_Instalações públicas de ensino Danificadas;DM_Instalações públicas de ensino Destruídas;DM_Instalações públicas de ensino Valor;DM_Instalações públicas prestadoras de outros serviços Danificadas;DM_Instalações públicas prestadoras de outros serviços Destruídas;DM_Instalações públicas prestadoras de outros serviços Valor;DM_Instalações públicas de uso comunitário Danificadas;DM_Instalações públicas de uso comunitário Destruídas;DM_Instalações públicas de uso comunitário Valor;DM_Obras de infraestrutura pública Danificadas;DM_Obras de infraestrutura pública Destruídas;DM_Obras de infraestrutura pública Valor;DA_Poluição ou contaminação da água;DA_Poluição ou contaminação do ar;DA_Poluição ou contaminação do solo;DA_Diminuição ou exaurimento hídrico;DA_Incêndios em parques, APA's ou APP's;PEPL_Assistência médica, saúde pública e atendimento de emergências médicas (R$);PEPL_Abastecimento de água potável (R$);PEPL_Esgoto de águas pluviais e sistema de esgotos sanitários (R$);PEPL_Sistema de limpeza urbana e de recolhimento e destinação do lixo (R$);PEPL_Sistema de desinfestação/desinfecção do habitat/controle de pragas e vetores (R$);PEPL_Geração e distribuição de energia elétrica (R$);PEPL_Telecomunicações (R$);PEPL_Transportes locais, regionais e de longo curso (R$);PEPL_Distribuição de combustíveis, especialmente os de uso doméstico (R$);PEPL_Segurança pública (R$);PEPL_Ensino (R$);PEPR_Agricultura (R$);PEPR_Pecuária (R$);PEPR_Indústria (R$);PEPR_Comércio (R$);PEPR_Serviços (R$)
MT;Pontal do Araguaia;20/09/2024;MT-F-5106653-14132-20240830;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Registro;5427;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;Porto dos Gaúchos;20/09/2024;MT-F-5106802-14132-20240830;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Reconhecido;5448;0;0;0;0;0;0;5448;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;MAIS DE 20%;;;ATÉ 40%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;Rondolândia;20/09/2024;MT-F-5107578-14132-20240830;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Reconhecido;3538;0;0;0;0;0;0;3538;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;MAIS DE 20%;;;ATÉ 40%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;São Félix do Araguaia;20/09/2024;MT-F-5107859-14132-20240830;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Reconhecido;10531;0;0;0;0;0;0;10531;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;MAIS DE 20%;;;ATÉ 40%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;São José do Rio Claro;20/09/2024;MT-F-5107305-14132-20240830;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Reconhecido;17128;0;0;0;0;0;0;17128;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;MAIS DE 20%;;;ATÉ 40%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;Brasnorte;20/09/2024;MT-F-5101902-14132-20240830;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Reconhecido;15280;0;0;0;0;0;0;15280;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;MAIS DE 20%;;;ATÉ 40%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;Castanheira;20/09/2024;MT-F-5102850-14132-20240830;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Reconhecido;8231;0;0;0;0;0;0;8231;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;MAIS DE 20%;;;ATÉ 40%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;Colíder;20/09/2024;MT-F-5103205-14132-20240830;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Reconhecido;30864;0;0;0;0;0;0;30864;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;MAIS DE 20%;;;ATÉ 40%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;Itaúba;20/09/2024;MT-F-5104559-14132-20240830;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Reconhecido;4570;0;0;0;0;0;0;4570;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;MAIS DE 20%;;;ATÉ 40%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;Lucas do Rio Verde;20/09/2024;MT-F-5105259-14132-20240830;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Registro;45545;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;Marcelândia;20/09/2024;MT-F-5105580-14132-20240830;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Reconhecido;11994;0;0;0;0;0;0;11994;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;MAIS DE 20%;;;ATÉ 40%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;Nova Xavantina;20/09/2024;MT-F-5106257-14132-20240830;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Registro;19475;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;Santa Terezinha;20/09/2024;MT-F-5107776-14132-20240830;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Reconhecido;7399;0;0;0;0;0;0;7399;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;MAIS DE 20%;;;ATÉ 40%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;Vera;20/09/2024;MT-F-5108501-14132-20240830;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Reconhecido;10235;0;0;0;0;0;0;10235;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;MAIS DE 20%;;;ATÉ 40%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;Vila Rica;20/09/2024;MT-F-5108600-14132-20240830;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Reconhecido;21403;0;0;0;0;0;0;21403;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;MAIS DE 20%;;;ATÉ 40%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;Araguaiana;20/09/2024;MT-F-5101001-14132-20240830;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Registro;3221;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;Bom Jesus do Araguaia;20/09/2024;MT-F-5101852-14132-20240830;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Reconhecido;5231;0;0;0;0;0;0;5231;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;MAIS DE 20%;;;ATÉ 40%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;Campos de Júlio;20/09/2024;MT-F-5102686-14132-20240830;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Registro;5019;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;Carlinda;20/09/2024;MT-F-5102793-14132-20240830;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Reconhecido;10985;0;0;0;0;0;0;10985;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;MAIS DE 20%;;;ATÉ 40%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;Comodoro;20/09/2024;MT-F-5103304-14132-20240830;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Reconhecido;18157;0;0;0;0;0;0;18157;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;MAIS DE 20%;;;ATÉ 40%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;Conquista D`Oeste;20/09/2024;MT-F-5103361-14132-20240830;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Reconhecido;3388;0;0;0;0;0;0;3388;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;MAIS DE 20%;;;ATÉ 40%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;Nova Ubiratã;20/09/2024;MT-F-5106240-14132-20240830;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Reconhecido;9245;0;0;0;0;0;0;9245;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;MAIS DE 20%;;;ATÉ 40%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;Novo Horizonte do Norte;20/09/2024;MT-F-5106273-14132-20240830;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Reconhecido;3746;0;0;0;0;0;0;3746;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;MAIS DE 20%;;;ATÉ 40%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;Barão de Melgaço;20/09/2024;MT-F-5101605-14132-20240830;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Registro;7591;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MT;Alto Boa Vista;20/09/2024;MT-F-5100359-14132-20240830;14132 - Incêndio Florestal - Incêndios em áreas não protegidas, com reflexos na qualidade do ar;Reconhecido;5249;0;0;0;0;0;0;5249;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;MAIS DE 20%;;;ATÉ 40%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
