N;UF;Código IBGE;Município;Nº do Decreto;Data do Decreto;Desastre;SE/ECP;Nº da Portaria;Data da Portaria;Nº do D.O.U.;Data do D.O.U.;Rito;Processo
108;MT;5106216;Nova Canaã do Norte;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
109;MT;5108808;Nova Guarita;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
110;MT;5106182;Nova Lacerda;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
111;MT;5108907;Nova Maringá;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
112;MT;5108956;Nova Monte Verde;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
113;MT;5106190;Nova Santa Helena;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
114;MT;5106240;Nova Ubiratã;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
115;MT;5106273;Novo Horizonte do Norte;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
116;MT;5106265;Novo Mundo;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
117;MT;5106299;Paranaíta;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
118;MT;5106307;Paranatinga;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
119;MT;5106422;Peixoto de Azevedo;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
120;MT;5106778;Porto Alegre do Norte;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
121;MT;5106802;Porto dos Gaúchos;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
122;MT;5107065;Querência;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
123;MT;5107180;Ribeirão Cascalheira;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
124;MT;5107578;Rondolândia;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
125;MT;5107248;Santa Carmem;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
126;MT;5107743;Santa Cruz do Xingu;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
127;MT;5107776;Santa Terezinha;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
128;MT;5107859;São Félix do Araguaia;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
129;MT;5107305;São José do Rio Claro;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
130;MT;5107354;São José do Xingu;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
131;MT;5107909;Sinop;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
132;MT;5107925;Sorriso;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
133;MT;5107941;Tabaporã;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
134;MT;5108006;Tapurah;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
135;MT;5108055;Terra Nova do Norte;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
136;MT;5108303;União do Sul;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
137;MT;5108501;Vera;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
138;MT;5108600;Vila Rica;989;30/08/2024;INCÊNDIO FLORESTAL - INCÊNDIOS EM ÁREAS NÃO PROTEGIDAS, COM REFLEXOS NA QUALIDADE DO AR;SE;3247;26/09/2024;188;27/09/2024;ORDINÁRIO;59051.037630/2024-62
139;MT;5105507;Vila Bela da Santíssima Trindade;70;20/09/2024;ESTIAGEM;SE;3308;02/10/2024;192;03/10/2024;ORDINÁRIO;59051.037815/2024-77
140;MT;5100250;Alta Floresta;271/2024;11/09/2024;SECA;SE;3334;03/10/2024;193;04/10/2024;ORDINÁRIO;59051.037821/2024-24
141;MT;5103254;Colniza;57;13/09/2024;SECA;SE;3385;07/10/2024;195;08/10/2024;ORDINÁRIO;59051.037608/2024-12
