"Codigo" "DataHora" "ChuvaHoraria" "Nivel" "Vazao"
"66070004" "2024-11-13 17:00:00" " 0.0" "148.00" " 292.45"
"66070004" "2024-11-13 16:45:00" " 0.0" "149.00" " 294.09"
"66070004" "2024-11-13 16:30:00" " 0.0" "149.00" " 294.09"
"66070004" "2024-11-13 16:15:00" " 0.0" "150.00" " 295.73"
"66070004" "2024-11-13 16:00:00" " 0.0" "150.00" " 295.73"
"66070004" "2024-11-13 15:45:00" " 0.0" "149.00" " 294.09"
"66070004" "2024-11-13 15:30:00" " 0.0" "150.00" " 295.73"
"66070004" "2024-11-13 15:15:00" " 0.0" "150.00" " 295.73"
"66070004" "2024-11-13 15:00:00" " 0.0" "149.00" " 294.09"
"66070004" "2024-11-13 14:45:00" " 0.0" "150.00" " 295.73"
"66070004" "2024-11-13 14:30:00" " 0.0" "150.00" " 295.73"
"66070004" "2024-11-13 14:15:00" " 0.0" "154.00" " 302.33"
"66070004" "2024-11-13 14:00:00" " 0.0" "153.00" " 300.67"
"66070004" "2024-11-13 13:45:00" " 0.0" "150.00" " 295.73"
"66070004" "2024-11-13 13:30:00" " 0.0" "151.00" " 297.38"
"66070004" "2024-11-13 13:15:00" " 0.0" "153.00" " 300.67"
"66070004" "2024-11-13 13:00:00" " 0.0" "153.00" " 300.67"
"66070004" "2024-11-13 12:45:00" " 0.0" "152.00" " 299.03"
"66070004" "2024-11-13 12:30:00" " 0.0" "151.00" " 297.38"
"66070004" "2024-11-13 12:15:00" " 0.0" "150.00" " 295.73"
"66070004" "2024-11-13 12:00:00" " 0.0" "150.00" " 295.73"
"66070004" "2024-11-13 11:45:00" " 0.0" "150.00" " 295.73"
"66070004" "2024-11-13 11:30:00" " 0.0" "150.00" " 295.73"
"66070004" "2024-11-13 11:15:00" " 0.0" "150.00" " 295.73"
"66070004" "2024-11-13 11:00:00" " 0.0" "151.00" " 297.38"
"66070004" "2024-11-13 10:45:00" " 0.0" "152.00" " 299.03"
"66070004" "2024-11-13 10:30:00" " 0.0" "151.00" " 297.38"
"66070004" "2024-11-13 10:15:00" " 0.0" "151.00" " 297.38"
"66070004" "2024-11-13 10:00:00" " 0.0" "151.00" " 297.38"
"66070004" "2024-11-13 09:45:00" " 0.0" "150.00" " 295.73"
"66070004" "2024-11-13 09:30:00" " 0.0" "152.00" " 299.03"
"66070004" "2024-11-13 09:15:00" " 0.0" "150.00" " 295.73"
"66070004" "2024-11-13 09:00:00" " 0.0" "150.00" " 295.73"
"66070004" "2024-11-13 08:45:00" " 0.0" "149.00" " 294.09"
"66070004" "2024-11-13 08:30:00" " 0.0" "149.00" " 294.09"
"66070004" "2024-11-13 08:15:00" " 0.0" "150.00" " 295.73"
"66070004" "2024-11-13 08:00:00" " 0.0" "151.00" " 297.38"
"66070004" "2024-11-13 07:45:00" " 0.0" "151.00" " 297.38"
"66070004" "2024-11-13 07:30:00" " 0.0" "150.00" " 295.73"
"66070004" "2024-11-13 07:15:00" " 0.0" "153.00" " 300.67"
"66070004" "2024-11-13 07:00:00" " 0.0" "153.00" " 300.67"
"66070004" "2024-11-13 06:45:00" " 0.0" "153.00" " 300.67"
"66070004" "2024-11-13 06:30:00" " 0.0" "153.00" " 300.67"
"66070004" "2024-11-13 06:15:00" " 0.0" "154.00" " 302.33"
"66070004" "2024-11-13 06:00:00" " 0.0" "154.00" " 302.33"
